person,current,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted
Conan O'Brien,FALSE,1987,1991,4,4,0,0,0,0,0,0,0,0,0
Bob Odenkirk,FALSE,1987,1991,4,4,0,0,0,0,0,0,0,0,0
John Bowman,FALSE,1988,1989,1,1,0,0,0,0,0,0,0,0,0
Shannon Gaughan,FALSE,1988,1989,1,1,0,0,0,0,0,0,0,0,0
Tom Hymes,FALSE,1989,1990,1,1,0,0,0,0,0,0,0,0,0
Dan McGrath (I),FALSE,1990,1992,2,2,0,0,0,0,0,0,0,0,0
Andy Robin (I),FALSE,1990,1991,1,1,0,0,0,0,0,0,0,0,0
Warren Hutcherson,FALSE,1991,1993,2,2,0,0,0,0,0,0,0,0,0
Steve Koren,FALSE,1991,1998,6,6,0,0,0,0,0,0,0,0,0
Ian Maxtone-Graham,FALSE,1991,1995,4,4,0,0,0,0,0,0,0,0,0
Bruce Handy,FALSE,1992,1993,1,1,0,0,0,0,0,0,0,0,0
Dawna Kaufmann,FALSE,1992,1993,1,1,0,0,0,0,0,0,0,0,0
David Mandel,FALSE,1992,1995,3,3,0,0,0,0,0,0,0,0,0
Vanessa Middleton,FALSE,1992,1993,1,1,0,0,0,0,0,0,0,0,0
Glenn Rockowitz,FALSE,1992,1993,1,1,0,0,0,0,0,0,0,0,0
Dave Attell,FALSE,1993,1994,1,1,0,0,0,0,0,0,0,0,0
Tony De Sena (I),FALSE,1993,1994,1,1,0,0,0,0,0,0,0,0,0
Tim Herlihy,FALSE,1993,2000,7,7,1,0,0,0,0,0,0,0,0
Steve Lookner,FALSE,1993,1995,2,2,0,0,0,0,0,0,0,0,0
Lewis Morton,FALSE,1993,1995,2,2,0,0,0,0,0,0,0,0,0
Ross Abrash,FALSE,1994,1998,4,4,0,0,0,0,0,0,0,0,0
Norm Hiscock,FALSE,1994,1997,3,3,0,0,0,0,0,0,0,0,0
Brian Kelley (I),FALSE,1994,1995,1,1,0,0,0,0,0,0,0,0,0
Margo Meyer,FALSE,1994,1995,1,1,0,0,0,0,0,0,0,0,0
Adam Resnick,FALSE,1994,1995,1,1,0,0,0,0,0,0,0,0,0
Drake Sather,FALSE,1994,1995,1,1,0,0,0,0,0,0,0,0,0
Steve Higgins,TRUE,1995,2023,28,28,1,0,0,0,0,0,0,0,0
Cindy Caponera,FALSE,1995,1998,3,3,0,0,0,0,0,0,0,0,0
Hugh Fink,FALSE,1995,2002,7,7,0,0,0,0,0,0,0,0,0
Tom Gianas,FALSE,1995,1998,3,3,0,0,0,0,0,0,0,0,0
Peter Gaulke,FALSE,1995,1996,1,1,0,0,0,0,0,0,0,0,0
Erin Fraser (III),FALSE,1995,1996,1,1,0,0,0,0,0,0,0,0,0
Adam McKay,FALSE,1995,2001,6,6,3,0,0,0,0,0,0,0,0
Dennis McNicholas,FALSE,1995,2023,18,18,4,0,0,0,0,0,0,0,0
Lori Nasso,FALSE,1995,1999,4,4,0,0,0,0,0,0,0,0,0
Paula Pell,FALSE,1995,2009,18,18,2,0,0,0,0,0,0,0,0
Frank Sebastiano,FALSE,1995,2006,9,9,0,0,0,0,0,0,0,0,0
Andrew Steele (I),FALSE,1995,2008,13,13,4,0,0,0,0,0,0,0,0
David Breckman,FALSE,1996,1997,1,1,0,0,0,0,0,0,0,0,0
Robert Carlock,FALSE,1996,2001,5,5,0,0,0,0,0,0,0,0,0
Stephen Colbert,FALSE,1996,1997,1,1,0,0,0,0,0,0,0,0,0
Matt Piedmont,FALSE,1996,2002,6,6,0,0,0,0,0,0,0,0,0
Scott Wainio,FALSE,1996,2003,7,7,0,0,0,0,0,0,0,0,0
Michael McCullers,FALSE,1997,1998,1,1,0,0,0,0,0,0,0,0,0
Michael Schur,FALSE,1997,2004,7,7,0,0,0,0,0,0,0,0,0
Jerry Collins,FALSE,1998,2000,2,2,0,0,0,0,0,0,0,0,0
Steven Cragg,FALSE,1998,2000,2,2,0,0,0,0,0,0,0,0,0
Tony Daro,FALSE,1998,2001,3,3,0,0,0,0,0,0,0,0,0
Richard Francese,FALSE,1998,2000,2,2,0,0,0,0,0,0,0,0,0
Matt Graham (II),FALSE,1998,1999,1,1,0,0,0,0,0,0,0,0,0
Ray James,FALSE,1998,1999,1,1,0,0,0,0,0,0,0,0,0
T. Sean Shannon,FALSE,1998,2006,8,8,0,0,0,0,0,0,0,0,0
