person,num_credits,potential_percent,def_percent,snl_percent,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor,num_episodes_other,coefficient
Fred Armisen,317,0.7949526813880127,0.2113564668769716,0.10725552050473186,2002.0,2013.0,11.0,0.0,0.0,11.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,https://www.imdb.com/name/nm0035488/?ref_=fn_nm_nm_1,0.0,236.0,5.0,0.1306561254689939
Morwenna Banks,117,0.1623931623931624,0.017094017094017096,0,1995.0,1995.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0052218/?ref_=fn_nm_nm_1,0.0,3.0,1.0,0.0914690871804432
Vanessa Bayer,78,0.8974358974358975,0.28205128205128205,0.08974358974358974,2010.0,2017.0,7.0,0.0,0.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm3364779/?ref_=fn_nm_nm_1,0.0,149.0,0.0,0.1147860355486605
Beck Bennett,68,0.8823529411764706,0.19117647058823528,0.04411764705882353,2013.0,2021.0,8.0,0.0,0.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm3080722/?ref_=fn_nm_nm_1,0.0,164.0,0.0,0.1179178124490224
Jim Breuer,105,0.6761904761904762,0.17142857142857143,0.02857142857142857,1995.0,1998.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0108028/?ref_=fn_nm_nm_1,0.0,57.0,3.0,0.1004532637319102
Paul Brittain,16,0.8125,0.375,0.1875,2010.0,2012.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm4204968/?ref_=fn_nm_nm_1,0.0,34.0,0.0,0.0914102444594626
Aidy Bryant,79,0.9367088607594937,0.34177215189873417,0.13924050632911392,2012.0,2021.0,9.0,0.0,0.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm5262775/?ref_=fn_nm_nm_1,0.0,189.0,0.0,0.1228250461549615
Beth Cahill,17,0.8823529411764706,0.35294117647058826,0,1991.0,1992.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0128639/?ref_=fn_nm_nm_1,0.0,13.0,0.0,0.0877012887138496
Dana Carvey,186,0.8924731182795699,0.3279569892473118,0.08602150537634409,1986.0,1993.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,4.0,https://www.imdb.com/name/nm0001022/?ref_=fn_nm_nm_1,0.0,130.0,7.0,0.1140130735708792
Ellen Cleghorne,67,0.7611940298507462,0.2537313432835821,0.04477611940298507,1991.0,1995.0,4.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0165971/?ref_=fn_nm_nm_1,0.0,77.0,3.0,0.1015362610985528
George Coe,136,0.4485294117647059,0.014705882352941176,0,1975.0,1975.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0168642/?ref_=fn_nm_nm_1,0.0,10.0,0.0,0.0923234135769383
Joan Cusack,134,0.5074626865671642,0.05970149253731343,0.022388059701492536,1985.0,1986.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0000349/?ref_=fn_nm_nm_1,0.0,17.0,1.0,0.0932325044860292
Pete Davidson,83,0.7590361445783133,0.12048192771084337,0.012048192771084338,2014.0,2021.0,7.0,0.0,0.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0203457/?ref_=fn_nm_nm_1,0.0,146.0,1.0,0.1144355426680471
Denny Dillon,52,0.5,0.07692307692307693,0.019230769230769232,1980.0,1981.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0226986/?ref_=fn_nm_nm_1,0.0,13.0,0.0,0.0927012887138496
Robert Downey Jr.,393,0.5038167938931297,0.022900763358778626,0.017811704834605598,1985.0,1986.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.imdb.com/name/nm0000375/?ref_=fn_nm_nm_1,0.0,16.0,3.0,0.0931613106196546
Rachel Dratch,208,0.7740384615384616,0.23557692307692307,0.07211538461538461,1999.0,2006.0,7.0,0.0,0.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0237222/?ref_=fn_nm_nm_1,0.0,145.0,6.0,0.1144464955705663
Nora Dunn,162,0.6604938271604939,0.15432098765432098,0.030864197530864196,1985.0,1990.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0004887/?ref_=fn_nm_nm_1,0.0,88.0,3.0,0.1064856330544615
Dean Edwards,63,0.6507936507936508,0.14285714285714285,0.015873015873015872,2001.0,2003.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0249931/?ref_=fn_nm_nm_1,0.0,40.0,0.0,0.0921659947332851
Abby Elliott,69,0.8695652173913043,0.2463768115942029,0,2008.0,2012.0,4.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm2212031/?ref_=fn_nm_nm_1,0.0,81.0,0.0,0.1019579478455407
Chris Elliott,102,0.7352941176470589,0.049019607843137254,0.029411764705882353,1994.0,1995.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0254402/?ref_=fn_nm_nm_1,0.0,19.0,1.0,0.09348442124397
Siobhan Fallon Hogan,81,0.5061728395061729,0.09876543209876543,0.024691358024691357,1991.0,1992.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0266441/?ref_=fn_nm_nm_1,0.0,20.0,0.0,0.0885829973666425
Chris Farley,89,0.9775280898876404,0.47191011235955055,0.10112359550561797,1990.0,1995.0,5.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,https://www.imdb.com/name/nm0000394/?ref_=fn_nm_nm_1,0.0,96.0,6.0,0.1245754468551187
Will Ferrell,522,0.7988505747126436,0.15134099616858238,0.040229885057471264,1995.0,2002.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,5.0,https://www.imdb.com/name/nm0002071/?ref_=fn_nm_nm_1,0.0,140.0,11.0,0.1153821863857752
Chloe Fineman,19,0.6842105263157895,0.10526315789473684,0,2019.0,2021.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm4806887/?ref_=fn_nm_nm_1,0.0,42.0,0.0,0.097417911491226
Will Forte,211,0.8199052132701422,0.24644549763033174,0.11374407582938388,2002.0,2010.0,8.0,0.0,0.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0287182/?ref_=fn_nm_nm_1,0.0,156.0,3.0,0.1176172921861527
Heidi Gardner,38,0.8157894736842105,0.21052631578947367,0.10526315789473684,2017.0,2021.0,4.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm5906920/?ref_=fn_nm_nm_1,0.0,84.0,0.0,0.102335822982452
Janeane Garofalo,331,0.6344410876132931,0.021148036253776436,0.012084592145015106,1994.0,1995.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0000413/?ref_=fn_nm_nm_1,0.0,14.0,0.0,0.09282724709282
Ana Gasteyer,182,0.8461538461538461,0.26373626373626374,0.054945054945054944,1996.0,2002.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0309430/?ref_=fn_nm_nm_1,0.0,121.0,4.0,0.1117334716040176
Gilbert Gottfried,386,0.5906735751295337,0.038860103626943004,0.025906735751295335,1980.0,1981.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0331906/?ref_=fn_nm_nm_1,0.0,13.0,0.0,0.0927012887138496
