relationship,count
"('Doug Abeles', 'Will Forte')",6
"('Hannibal Buress', 'Julia Louis-Dreyfus')",18
"('Hannibal Buress', 'Paul Shaffer')",9
"('Hannibal Buress', 'Will Forte')",19
"('Julia Louis-Dreyfus', 'Paul Shaffer')",25
"('Julia Louis-Dreyfus', 'Rob Riggle')",28
"('Julia Louis-Dreyfus', 'Will Forte')",32
"('Paul Shaffer', 'Rob Riggle')",15
"('Paul Shaffer', 'Will Forte')",18
"('Rob Riggle', 'Will Forte')",43
"('Dan Aykroyd', 'Gilda Radner')",51
"('Sarah Silverman', 'Will Ferrell')",65
"('Harry Shearer', 'Janeane Garofalo')",24
"('Adam Sandler', 'Eddie Murphy')",63
"('Adam Sandler', 'Jimmy Fallon')",81
"('Adam Sandler', 'Joan Cusack')",16
"('Adam Sandler', 'Mike Myers')",82
"('Adam Sandler', 'Randy Quaid')",11
"('Adam Sandler', 'Robert Downey Jr.')",65
"('Ben Stiller', 'Eddie Murphy')",53
"('Ben Stiller', 'Jimmy Fallon')",57
"('Ben Stiller', 'Joan Cusack')",18
"('Ben Stiller', 'Mike Myers')",57
"('Ben Stiller', 'Randy Quaid')",12
"('Eddie Murphy', 'Jimmy Fallon')",46
"('Eddie Murphy', 'Joan Cusack')",19
"('Eddie Murphy', 'Mike Myers')",79
"('Eddie Murphy', 'Randy Quaid')",15
"('Jimmy Fallon', 'Joan Cusack')",14
"('Jimmy Fallon', 'Mike Myers')",50
"('Jimmy Fallon', 'Randy Quaid')",9
"('Jimmy Fallon', 'Robert Downey Jr.')",40
"('Joan Cusack', 'Mike Myers')",20
"('Joan Cusack', 'Randy Quaid')",9
"('Joan Cusack', 'Robert Downey Jr.')",14
"('Mike Myers', 'Randy Quaid')",13
"('Mike Myers', 'Robert Downey Jr.')",46
"('Randy Quaid', 'Robert Downey Jr.')",12
"('Bob Odenkirk', 'Chris Rock')",41
"('Bob Odenkirk', 'Dana Carvey')",38
"('Bob Odenkirk', 'Sarah Silverman')",64
"('Bob Odenkirk', 'Stephen Colbert')",39
"('Chris Rock', 'Dana Carvey')",49
"('Dana Carvey', 'Sarah Silverman')",34
"('Dana Carvey', 'Stephen Colbert')",30
"('Sarah Silverman', 'Stephen Colbert')",58
"('Al Franken', 'Dan Aykroyd')",42
