person,num_credits,potential_percent,def_percent,snl_percent,current,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor,num_episodes_other,coefficient
Bill Hader,275,0.84,0.1781818181818182,0.07636363636363637,False,2005.0,2013.0,8.0,0.0,0.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,https://www.imdb.com/name/nm0352778/?ref_=fn_nm_nm_1,4.0,161.0,6.0,0.118811158560742
Anthony Michael Hall,148,0.4797297297297297,0.033783783783783786,0.013513513513513514,False,1985.0,1986.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0001309/?ref_=fn_nm_nm_1,0.0,12.0,6.0,0.0927396238726666
Darrell Hammond,146,0.8356164383561644,0.3835616438356164,0.0410958904109589,False,1995.0,2009.0,14.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0358669/?ref_=fn_nm_nm_1,0.0,313.0,128.0,0.1478235184451539
Lauren Holt,3,0.6666666666666666,0.3333333333333333,0,False,2020.0,2021.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm7576527/?ref_=fn_nm_nm_1,0.0,20.0,0.0,0.0885829973666425
Jan Hooks,69,0.9565217391304348,0.6086956521739131,0.08695652173913043,False,1986.0,1991.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0393660/?ref_=fn_nm_nm_0,0.0,100.0,4.0,0.1080245158584046
Yvonne Hudson,1,1.0,1.0,0,False,1980.0,1981.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0399994/?ref_=fn_nm_nm_1,0.0,31.0,0.0,0.0899685395353172
Melanie Hutsell,46,0.717391304347826,0.2608695652173913,0.043478260869565216,False,1991.0,1994.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0404525/?ref_=fn_nm_nm_0,0.0,53.0,2.0,0.0965887146263972
Victoria Jackson,157,0.5286624203821656,0.19745222929936307,0.025477707006369428,False,1986.0,1992.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0414130/?ref_=fn_nm_nm_1,0.0,109.0,5.0,0.1102493533126704
Punkie Johnson,20,0.65,0.1,0,True,2020.0,2023.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm9790618/?ref_=fn_nm_nm_0,0.0,40.0,1.0,0.0932572067768171
Chris Kattan,186,0.6935483870967742,0.23118279569892472,0.03225806451612903,False,1996.0,2003.0,8.0,0.0,0.0,8.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,https://www.imdb.com/name/nm0441592/?ref_=fn_nm_nm_0,0.0,148.0,4.0,0.1166370074106872
Taran Killam,115,0.8434782608695652,0.20869565217391303,0.06086956521739131,False,2010.0,2016.0,6.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0453115/?ref_=fn_nm_nm_1,0.0,128.0,0.0,0.1108389845649522
David Koechner,305,0.6688524590163935,0.04262295081967213,0.022950819672131147,False,1995.0,1996.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0462712/?ref_=fn_nm_nm_0,0.0,21.0,0.0,0.093708955745613
Gary Kroeger,45,0.5111111111111111,0.08888888888888889,0,False,1982.0,1985.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0471856/?ref_=fn_nm_nm_1,0.0,56.0,1.0,0.1002725408403439
Matthew Laurance,41,0.24390243902439024,0.024390243902439025,0,False,1980.0,1981.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0491005/?ref_=fn_nm_nm_1,0.0,9.0,1.0,0.0872248374542658
Julia Louis-Dreyfus,245,0.8081632653061225,0.08571428571428572,0.05714285714285714,False,1982.0,1985.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,https://www.imdb.com/name/nm0000506/?ref_=fn_nm_nm_0,0.0,57.0,3.0,0.1004532637319102
Jon Lovitz,298,0.7013422818791947,0.13758389261744966,0.0436241610738255,False,1985.0,1990.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,https://www.imdb.com/name/nm0001484/?ref_=fn_nm_nm_0,0.0,91.0,10.0,0.1070551839854582
Michael McKean,358,0.664804469273743,0.027932960893854747,0.00558659217877095,False,1994.0,1995.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.imdb.com/name/nm0571106/?ref_=fn_nm_nm_0,0.0,27.0,3.0,0.0956106825755633
Mark McKinney,124,0.49193548387096775,0.16129032258064516,0.056451612903225805,False,1985.0,1997.0,4.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0571897/?ref_=fn_nm_nm_1,0.0,70.0,2.0,0.0806271701894619
Kate McKinnon,135,0.8518518518518519,0.2518518518518518,0.1259259259259259,False,2012.0,2022.0,11.0,0.0,0.0,11.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0571952/?ref_=fn_nm_nm_1,0.0,207.0,4.0,0.1269759502225536
Tim Meadows,216,0.8518518518518519,0.25925925925925924,0.07407407407407407,False,1991.0,2000.0,10.0,1.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,https://www.imdb.com/name/nm0005218/?ref_=fn_nm_nm_1,20.0,182.0,8.0,0.1261914194495584
