relationship,count
"('Chris Elliott', 'Lorne Michaels')",1
"('Chris Elliott', 'Rob Schneider')",1
"('Chris Elliott', 'Tim Herlihy')",1
"('Chris Rock', ""Conan O'Brien"")",1
"('Chris Rock', 'Dana Carvey')",1
"('Chris Rock', 'Janeane Garofalo')",1
"('Chris Rock', 'Jon Lovitz')",2
"('Chris Rock', 'Lorne Michaels')",1
"('Colin Quinn', ""Conan O'Brien"")",1
"('Colin Quinn', 'Dana Carvey')",1
"('Colin Quinn', 'Janeane Garofalo')",1
"('Colin Quinn', 'Jon Lovitz')",2
"('Colin Quinn', 'Kevin Nealon')",1
"('Colin Quinn', 'Lorne Michaels')",1
"(""Conan O'Brien"", 'Dana Carvey')",1
"(""Conan O'Brien"", 'David Spade')",1
"(""Conan O'Brien"", 'Janeane Garofalo')",1
"(""Conan O'Brien"", 'Jon Lovitz')",1
"(""Conan O'Brien"", 'Kevin Nealon')",1
"(""Conan O'Brien"", 'Lorne Michaels')",1
"(""Conan O'Brien"", 'Rob Schneider')",1
"(""Conan O'Brien"", 'Tim Herlihy')",1
"('Dana Carvey', 'Janeane Garofalo')",1
"('Dana Carvey', 'Lorne Michaels')",1
"('David Spade', 'Janeane Garofalo')",1
"('David Spade', 'Lorne Michaels')",1
"('Janeane Garofalo', 'Jon Lovitz')",1
"('Janeane Garofalo', 'Kevin Nealon')",1
"('Janeane Garofalo', 'Lorne Michaels')",1
"('Janeane Garofalo', 'Rob Schneider')",1
"('Janeane Garofalo', 'Tim Herlihy')",1
"('Jon Lovitz', 'Lorne Michaels')",1
"('Kevin Nealon', 'Lorne Michaels')",1
"('Lorne Michaels', 'Rob Schneider')",1
"('Lorne Michaels', 'Tim Herlihy')",1
"('Adam Sandler', 'Akiva Schaffer')",1
"('Adam Sandler', 'Bobby Moynihan')",1
"('Adam Sandler', 'Cheri Oteri')",1
"('Adam Sandler', 'Jorma Taccone')",1
"('Adam Sandler', 'Melanie Hutsell')",1
"('Adam Sandler', 'Taran Killam')",1
"('Akiva Schaffer', 'Andy Samberg')",1
"('Akiva Schaffer', 'Bobby Moynihan')",1
"('Akiva Schaffer', 'Cheri Oteri')",1
"('Akiva Schaffer', 'Chris Rock')",1
"('Akiva Schaffer', 'Colin Quinn')",1
"('Akiva Schaffer', 'David Spade')",1
"('Akiva Schaffer', 'Ellen Cleghorne')",1
"('Akiva Schaffer', 'Fred Wolf')",1
"('Akiva Schaffer', 'Jon Lovitz')",1
"('Akiva Schaffer', 'Jorma Taccone')",1
"('Akiva Schaffer', 'Maya Rudolph')",1
"('Akiva Schaffer', 'Melanie Hutsell')",1
"('Akiva Schaffer', 'Paul Brittain')",1
"('Akiva Schaffer', 'Taran Killam')",1
"('Akiva Schaffer', 'Tim Herlihy')",1
"('Akiva Schaffer', 'Tim Meadows')",1
"('Akiva Schaffer', 'Will Forte')",1
"('Andy Samberg', 'Bobby Moynihan')",1
"('Andy Samberg', 'Cheri Oteri')",1
"('Andy Samberg', 'Chris Rock')",1
"('Andy Samberg', 'Ellen Cleghorne')",1
"('Andy Samberg', 'Fred Wolf')",1
"('Andy Samberg', 'Jorma Taccone')",1
"('Andy Samberg', 'Maya Rudolph')",1
"('Andy Samberg', 'Melanie Hutsell')",1
"('Andy Samberg', 'Taran Killam')",1
"('Andy Samberg', 'Tim Meadows')",1
"('Bobby Moynihan', 'Cheri Oteri')",1
"('Bobby Moynihan', 'Chris Rock')",1
"('Bobby Moynihan', 'Colin Quinn')",1
"('Bobby Moynihan', 'David Spade')",1
"('Bobby Moynihan', 'Ellen Cleghorne')",1
"('Bobby Moynihan', 'Fred Wolf')",1
"('Bobby Moynihan', 'Jon Lovitz')",1
"('Bobby Moynihan', 'Jorma Taccone')",1
"('Bobby Moynihan', 'Maya Rudolph')",1
"('Bobby Moynihan', 'Melanie Hutsell')",1
"('Bobby Moynihan', 'Paul Brittain')",1
"('Bobby Moynihan', 'Taran Killam')",1
"('Bobby Moynihan', 'Tim Herlihy')",1
"('Bobby Moynihan', 'Tim Meadows')",1
"('Bobby Moynihan', 'Will Forte')",1
"('Cheri Oteri', 'Chris Rock')",1
"('Cheri Oteri', 'Colin Quinn')",1
"('Cheri Oteri', 'David Spade')",1
"('Cheri Oteri', 'Ellen Cleghorne')",1
"('Cheri Oteri', 'Fred Wolf')",1
"('Cheri Oteri', 'Jon Lovitz')",1
"('Cheri Oteri', 'Jorma Taccone')",1
"('Cheri Oteri', 'Maya Rudolph')",1
"('Cheri Oteri', 'Melanie Hutsell')",1
"('Cheri Oteri', 'Paul Brittain')",1
"('Cheri Oteri', 'Taran Killam')",1
"('Cheri Oteri', 'Tim Herlihy')",1
"('Cheri Oteri', 'Tim Meadows')",1
"('Cheri Oteri', 'Will Forte')",1
"('Chris Rock', 'Ellen Cleghorne')",1
"('Chris Rock', 'Jorma Taccone')",1
"('Chris Rock', 'Melanie Hutsell')",1
"('Chris Rock', 'Paul Brittain')",1
"('Chris Rock', 'Taran Killam')",1
"('Chris Rock', 'Will Forte')",1
"('Colin Quinn', 'Ellen Cleghorne')",1
"('Colin Quinn', 'Jorma Taccone')",1
"('Colin Quinn', 'Melanie Hutsell')",1
"('Colin Quinn', 'Paul Brittain')",1
"('Colin Quinn', 'Taran Killam')",1
"('David Spade', 'Ellen Cleghorne')",1
"('David Spade', 'Jorma Taccone')",1
"('David Spade', 'Taran Killam')",1
"('Ellen Cleghorne', 'Jorma Taccone')",1
"('Ellen Cleghorne', 'Maya Rudolph')",1
"('Ellen Cleghorne', 'Melanie Hutsell')",1
"('Ellen Cleghorne', 'Paul Brittain')",1
"('Ellen Cleghorne', 'Taran Killam')",1
"('Ellen Cleghorne', 'Tim Meadows')",1
"('Ellen Cleghorne', 'Will Forte')",1
"('Fred Wolf', 'Jorma Taccone')",1
"('Fred Wolf', 'Melanie Hutsell')",1
"('Fred Wolf', 'Paul Brittain')",1
"('Fred Wolf', 'Taran Killam')",1
"('Fred Wolf', 'Will Forte')",1
"('Jon Lovitz', 'Jorma Taccone')",1
"('Jon Lovitz', 'Maya Rudolph')",1
"('Jon Lovitz', 'Melanie Hutsell')",1
"('Jon Lovitz', 'Taran Killam')",1
"('Jorma Taccone', 'Maya Rudolph')",1
"('Jorma Taccone', 'Melanie Hutsell')",1
"('Jorma Taccone', 'Paul Brittain')",1
"('Jorma Taccone', 'Taran Killam')",1
"('Jorma Taccone', 'Tim Herlihy')",1
"('Jorma Taccone', 'Tim Meadows')",1
"('Jorma Taccone', 'Will Forte')",1
"('Maya Rudolph', 'Melanie Hutsell')",1
"('Maya Rudolph', 'Paul Brittain')",1
"('Maya Rudolph', 'Taran Killam')",1
"('Maya Rudolph', 'Will Forte')",1
"('Melanie Hutsell', 'Paul Brittain')",1
"('Melanie Hutsell', 'Taran Killam')",1
"('Melanie Hutsell', 'Tim Herlihy')",1
"('Melanie Hutsell', 'Tim Meadows')",1
"('Melanie Hutsell', 'Will Forte')",1
"('Paul Brittain', 'Taran Killam')",1
"('Paul Brittain', 'Tim Herlihy')",1
"('Paul Brittain', 'Tim Meadows')",1
"('Paul Brittain', 'Will Forte')",1
"('Taran Killam', 'Tim Herlihy')",1
"('Taran Killam', 'Tim Meadows')",1
"('Taran Killam', 'Will Forte')",1
"('Tim Meadows', 'Will Forte')",1
