person,year_start,year_end,head_writer,imdb_link
Marika Sawyer,,,,https://www.imdb.com/name/nm2854926/?ref_=fn_nm_nm_1
John Solomon,,,,https://www.imdb.com/name/nm1231253/?ref_=fn_nm_nm_1
Rob Klein,,,y,https://www.imdb.com/name/nm2914092/?ref_=fn_nm_nm_1
Simon Rich,,,,https://www.imdb.com/name/nm2919995/?ref_=fn_nm_nm_1
Kent Sublette,,,y,https://www.imdb.com/name/nm1229014/?ref_=fn_nm_nm_1
Jessica Conrad,,,,https://www.imdb.com/name/nm3165087/?ref_=fn_nm_nm_1
John Mulaney,,,,https://www.imdb.com/name/nm1825214/?ref_=fn_nm_nm_1
Jillian Bell,,,,https://www.imdb.com/name/nm3255459/?ref_=fn_nm_nm_1
Hannibal Buress,,,,https://www.imdb.com/name/nm2868110/?ref_=fn_nm_nm_1
Jessi Klein,,,,https://www.imdb.com/name/nm1585728/?ref_=fn_nm_nm_1
Christine Nangle,,,,https://www.imdb.com/name/nm3652881/?ref_=fn_nm_nm_1
Michael Patrick O'Brien,,,,https://www.imdb.com/name/nm3653190/?ref_=fn_nm_nm_1
Ryan Perez,,,,https://www.imdb.com/name/nm1885677/?ref_=fn_nm_nm_1
Heather Anne Campbell,,,,https://www.imdb.com/name/nm2216111/?ref_=fn_nm_nm_1
Matt Craig,,,,https://www.imdb.com/name/nm11875434/?ref_=fn_nm_nm_2
Tom Flanigan,,,,https://www.imdb.com/name/nm2475841/?ref_=fn_nm_nm_1
Shelly Gossman,,,,https://www.imdb.com/name/nm4586457/?ref_=fn_nm_nm_1
Jonathan Krisel,,,,https://www.imdb.com/name/nm1730037/?ref_=fn_nm_nm_1
Sarah Schneider,,,y,https://www.imdb.com/name/nm1365351/?ref_=fn_nm_nm_1
Zach Kanin,,,,https://www.imdb.com/name/nm2385671/?ref_=fn_nm_nm_1
Chris Kelly,,,y,https://www.imdb.com/name/nm6287571/?ref_=fn_nm_nm_1
Pete Schultz,,,,https://www.imdb.com/name/nm3965483/?ref_=fn_nm_nm_1
Neil Casey,,,,https://www.imdb.com/name/nm2654481/?ref_=fn_nm_nm_1
Tracy Dragoo,,,,
Josh Patten,,,,https://www.imdb.com/name/nm4483652/?ref_=fn_nm_nm_2
Michael Che,,,y,https://www.imdb.com/name/nm3846408/?ref_=fn_nm_nm_1
Mikey Day,,,,https://www.imdb.com/name/nm1510062/?ref_=fn_nm_nm_1
Leslie Jones,,,,https://www.imdb.com/name/nm0428656/?ref_=fn_nm_nm_1
Claire Mulaney,,,,https://www.imdb.com/name/nm6004139/?ref_=fn_nm_nm_1
Katie Rich,,,,https://www.imdb.com/name/nm0723672/?ref_=fn_nm_nm_1
Tim Robinson,,,,https://www.imdb.com/name/nm4200503/?ref_=fn_nm_nm_1
LaKendra Tookes,,,,https://www.imdb.com/name/nm6228635/?ref_=fn_nm_nm_1
Jeremy Beiler,,,,https://www.imdb.com/name/nm1501030/?ref_=fn_nm_nm_1
Dave McCary,,,,https://www.imdb.com/name/nm5050824/?ref_=fn_nm_nm_1
