Weight,Source,Target
8,Heidi Gardner,Sarah Silverman
11,Heidi Gardner,Stephen Colbert
61,Jimmy Fallon,Sarah Silverman
5,Cecily Strong,James Austin Johnson
38,Jon Lovitz,Norm MacDonald
16,Anthony Michael Hall,Ben Stiller
12,Anthony Michael Hall,Bill Murray
19,Anthony Michael Hall,Billy Crystal
19,Anthony Michael Hall,Chevy Chase
4,Anthony Michael Hall,Christine Ebersole
13,Anthony Michael Hall,Conan O'Brien
14,Anthony Michael Hall,Dan Aykroyd
16,Anthony Michael Hall,David Spade
16,Anthony Michael Hall,Eddie Murphy
4,Anthony Michael Hall,Jan Hooks
10,Anthony Michael Hall,Jay Mohr
17,Anthony Michael Hall,Jim Belushi
16,Anthony Michael Hall,Julia Louis-Dreyfus
9,Anthony Michael Hall,Laurie Metcalf
18,Anthony Michael Hall,Martin Short
15,Anthony Michael Hall,Rob Schneider
20,Anthony Michael Hall,Robert Downey Jr.
44,Ben Stiller,Bill Murray
37,Ben Stiller,Chevy Chase
9,Ben Stiller,Christine Ebersole
55,Ben Stiller,Conan O'Brien
56,Ben Stiller,David Spade
7,Ben Stiller,Jan Hooks
20,Ben Stiller,Jay Mohr
34,Ben Stiller,Jim Belushi
48,Ben Stiller,Julia Louis-Dreyfus
23,Ben Stiller,Laurie Metcalf
56,Ben Stiller,Martin Short
41,Ben Stiller,Rob Schneider
43,Bill Murray,Billy Crystal
59,Bill Murray,Chevy Chase
7,Bill Murray,Christine Ebersole
25,Bill Murray,Conan O'Brien
35,Bill Murray,David Spade
51,Bill Murray,Eddie Murphy
22,Bill Murray,Jan Hooks
16,Bill Murray,Jay Mohr
31,Bill Murray,Jim Belushi
36,Bill Murray,Julia Louis-Dreyfus
14,Bill Murray,Laurie Metcalf
42,Bill Murray,Martin Short
27,Bill Murray,Rob Schneider
44,Bill Murray,Robert Downey Jr.
9,Billy Crystal,Christine Ebersole
55,Billy Crystal,Conan O'Brien
59,Billy Crystal,David Spade
66,Billy Crystal,Eddie Murphy
14,Billy Crystal,Jan Hooks
27,Billy Crystal,Jay Mohr
49,Billy Crystal,Jim Belushi
61,Billy Crystal,Julia Louis-Dreyfus
28,Billy Crystal,Laurie Metcalf
75,Billy Crystal,Martin Short
35,Billy Crystal,Rob Schneider
7,Chevy Chase,Christine Ebersole
32,Chevy Chase,Conan O'Brien
87,Chevy Chase,Dan Aykroyd
41,Chevy Chase,David Spade
46,Chevy Chase,Eddie Murphy
25,Chevy Chase,Jan Hooks
23,Chevy Chase,Jay Mohr
39,Chevy Chase,Jim Belushi
34,Chevy Chase,Julia Louis-Dreyfus
15,Chevy Chase,Laurie Metcalf
58,Chevy Chase,Martin Short
32,Chevy Chase,Rob Schneider
28,Chevy Chase,Robert Downey Jr.
6,Christine Ebersole,Conan O'Brien
8,Christine Ebersole,Dan Aykroyd
6,Christine Ebersole,David Spade
7,Christine Ebersole,Eddie Murphy
3,Christine Ebersole,Jan Hooks
3,Christine Ebersole,Jay Mohr
8,Christine Ebersole,Jim Belushi
7,Christine Ebersole,Julia Louis-Dreyfus
7,Christine Ebersole,Laurie Metcalf
15,Christine Ebersole,Martin Short
7,Christine Ebersole,Rob Schneider
6,Christine Ebersole,Robert Downey Jr.
34,Conan O'Brien,Dan Aykroyd
50,Conan O'Brien,David Spade
33,Conan O'Brien,Eddie Murphy
15,Conan O'Brien,Jan Hooks
26,Conan O'Brien,Jay Mohr
55,Conan O'Brien,Julia Louis-Dreyfus
13,Conan O'Brien,Laurie Metcalf
53,Conan O'Brien,Martin Short
31,Conan O'Brien,Rob Schneider
31,Conan O'Brien,Robert Downey Jr.
55,Dan Aykroyd,David Spade
58,Dan Aykroyd,Eddie Murphy
28,Dan Aykroyd,Jan Hooks
20,Dan Aykroyd,Jay Mohr
49,Dan Aykroyd,Jim Belushi
33,Dan Aykroyd,Julia Louis-Dreyfus
15,Dan Aykroyd,Laurie Metcalf
56,Dan Aykroyd,Martin Short
48,David Spade,Eddie Murphy
23,David Spade,Jan Hooks
30,David Spade,Jay Mohr
31,David Spade,Jim Belushi
41,David Spade,Julia Louis-Dreyfus
17,David Spade,Laurie Metcalf
52,David Spade,Martin Short
69,David Spade,Rob Schneider
46,David Spade,Robert Downey Jr.
20,Eddie Murphy,Jan Hooks
20,Eddie Murphy,Jay Mohr
33,Eddie Murphy,Jim Belushi
47,Eddie Murphy,Julia Louis-Dreyfus
21,Eddie Murphy,Laurie Metcalf
49,Eddie Murphy,Martin Short
29,Eddie Murphy,Rob Schneider
14,Jan Hooks,Jay Mohr
11,Jan Hooks,Jim Belushi
13,Jan Hooks,Julia Louis-Dreyfus
6,Jan Hooks,Laurie Metcalf
21,Jan Hooks,Martin Short
19,Jan Hooks,Rob Schneider
5,Jan Hooks,Robert Downey Jr.
20,Jay Mohr,Jim Belushi
17,Jay Mohr,Julia Louis-Dreyfus
7,Jay Mohr,Laurie Metcalf
23,Jay Mohr,Martin Short
30,Jay Mohr,Rob Schneider
15,Jay Mohr,Robert Downey Jr.
30,Jim Belushi,Julia Louis-Dreyfus
