person,year_start,year_end,num_seasons,repertory_player,featured_player,middle_group,weekend_update,hosted,best_of,writer,imdb_link
Tom Schiller,1980,,1,,y,,,,,y,https://www.imdb.com/name/nm0771680/?ref_=fn_nm_nm_1
Rob Schneider,1990,1994.0,4,y,y,y,,,,y,https://www.imdb.com/name/nm0001705/?ref_=fn_nm_nm_1
Paul Shaffer,1979,1980.0,1,,y,,,y,,,https://www.imdb.com/name/nm0787238/?ref_=fn_nm_nm_1
Molly Shannon,1995,2001.0,7,y,y,,,y,y,,https://www.imdb.com/name/nm0788340/?ref_=fn_nm_nm_1
Harry Shearer,1979,1985.0,2,y,y,,,,,y,https://www.imdb.com/name/nm0733427/?ref_=fn_nm_nm_1
Martin Short,1984,1985.0,1,y,,,,y,,y,https://www.imdb.com/name/nm0001737/?ref_=fn_nm_nm_1
Sarah Silverman,1993,1994.0,1,,y,,,y,,y,https://www.imdb.com/name/nm0798971/?ref_=fn_nm_nm_1
Jenny Slate,2009,2010.0,1,,y,,,,,,https://www.imdb.com/name/nm2809577/?ref_=fn_nm_nm_1
Robert Smigel,1991,1993.0,2,,y,,,,,y,https://www.imdb.com/name/nm0806912/?ref_=fn_nm_nm_1
David Spade,1990,1996.0,6,y,y,y,,y,y,y,https://www.imdb.com/name/nm0005450/?ref_=fn_nm_nm_1
Pamela Stephenson,1984,1985.0,1,y,,,,,,,https://www.imdb.com/name/nm0827298/?ref_=fn_nm_nm_1
Ben Stiller,1989,,1,,y,,,y,,,https://www.imdb.com/name/nm0001774/?ref_=fn_nm_nm_1
Cecily Strong,2012,2021.0,9,y,y,,y,,,,https://www.imdb.com/name/nm5198446/?ref_=fn_nm_nm_1
Jason Sudeikis,2005,2013.0,9,y,y,,,,,y,https://www.imdb.com/name/nm0837177/?ref_=fn_nm_nm_1
Julia Sweeney,1990,1994.0,4,y,,y,,,,,https://www.imdb.com/name/nm0842140/?ref_=fn_nm_nm_1
Terry Sweeney,1985,1986.0,1,y,,,,,,y,https://www.imdb.com/name/nm0842202/?ref_=fn_nm_nm_1
Kenan Thompson,2003,2021.0,18,y,y,,,,,,https://www.imdb.com/name/nm0860380/?ref_=fn_nm_nm_1
Danitra Vance,1985,1986.0,1,y,,,,,,,https://www.imdb.com/name/nm0888503/?ref_=fn_nm_nm_1
Melissa Villaseñor,2016,2021.0,5,y,y,,,,,,https://www.imdb.com/name/nm3830257/?ref_=fn_nm_nm_1
Dan Vitale,1985,1986.0,1,,y,,,,,,https://www.imdb.com/name/nm0899865/?ref_=fn_nm_nm_1
Nancy Carell,1995,1996.0,1,y,,,,,,,https://www.imdb.com/name/nm0909391/?ref_=fn_al_nm_1
Michaela Watkins,2008,2009.0,1,,y,,,,,,https://www.imdb.com/name/nm1143861/?ref_=fn_nm_nm_1
Damon Wayans,1985,1986.0,1,,y,,,y,,,https://www.imdb.com/name/nm0001834/?ref_=fn_nm_nm_1
Patrick Weathers,1980,1981.0,1,,y,,,,,,https://www.imdb.com/name/nm0915778/?ref_=fn_nm_nm_1
Noël Wells,2013,2015,2,,y,,,,,,https://www.imdb.com/name/nm3644706/?ref_=fn_nm_nm_1
Brooks Wheelan,2013,2014,1,,y,,,,,,https://www.imdb.com/name/nm5120390/?ref_=fn_nm_nm_1
Kristen Wiig,2005,2012.0,7,y,y,,,y,,,https://www.imdb.com/name/nm1325419/?ref_=fn_nm_nm_1
Casey Wilson,2008,2009.0,2,,y,,,,,,https://www.imdb.com/name/nm1988111/?ref_=fn_nm_nm_1
Fred Wolf,1996,1996.0,2,,y,,,,,y,https://www.imdb.com/name/nm0937748/?ref_=fn_nm_nm_1
Bowen Yang,2019,2021.0,2,,y,,,,,y,https://www.imdb.com/name/nm6299248/?ref_=fn_nm_nm_1
Sasheer Zamata,2014,2017.0,4,y,y,,,,,,https://www.imdb.com/name/nm3550886/?ref_=fn_nm_nm_1
Alan Zweibel,1975,1987,,,,,,,,,https://www.imdb.com/name/nm0958993/?ref_=fn_nm_nm_1=
