person,credit_type,year,title,imdb_link,episode_count,add_info,year_start,year_end,keep?
Fred Armisen,actor-tt2958484,2013,The Smurfs: The Legend of Smurfy Hollow,https://www.imdb.com/title/tt2958484/,0,"2013

The Smurfs: The Legend of Smurfy Hollow
(TV Short)

Brainy Smurf (voice)",2013,0,keep_year
Fred Armisen,actor-tt2377271,2013,Out There,https://www.imdb.com/title/tt2377271/,6,"2013

Out There
(TV Series)

Terry

- Ace's Wild
(2013)
... Terry (voice)


- Viking Days
(2013)
... Terry (voice)


- Salem, My Salem
(2013)
... Terry (voice)


- Joanie Loves Terry
(2013)
... Terry (voice)


- Enter Destiny
(2013)
... Terry (voice)





Show all 10 episodes",2013,0,keep_year
Fred Armisen,actor-tt1981538,2013,Kroll Show,https://www.imdb.com/title/tt1981538/,1,"2013

Kroll Show
(TV Series)

Papi Jr

- Dine & Dash
(2013)
... Papi Jr",2013,0,keep_year
Fred Armisen,actor-tt1637574,2013,Conan,https://www.imdb.com/title/tt1637574/,1,"2013

Conan
(TV Series)

Conan

- Occupy Conan: When Outsourcing Goes Too Far
(2013)
... Conan",2013,0,keep_year
Fred Armisen,actor-tt2488280,2012,Vancouvria,https://www.imdb.com/title/tt2488280/,1,"2012

Vancouvria
(TV Series)

Photo extra

- Big City Survival Class
(2012)
... Photo extra",2012,0,keep_year
Fred Armisen,actor-tt0096697,2012,The Simpsons,https://www.imdb.com/title/tt0096697/,1,"2012

The Simpsons
(TV Series)

Terrence

- The Day the Earth Stood Cool
(2012)
... Terrence (voice)",2012,0,keep_year
Fred Armisen,actor-tt1217217,2008-2012,Saturday Night Live: Weekend Update Summer Edition,https://www.imdb.com/title/tt1217217/,6,"2008-2012

Saturday Night Live: Weekend Update Summer Edition
(TV Series)

Barack Obama / Voter / Mahmoud Ahmadinejad / ...

- Episode #3.2
(2012)
... Voter / Mahmoud Ahmadinejad / Paul


- Episode #3.1
(2012)
... Guy


- Episode #2.3
(2009)
... Joy Behar / Oates


- Episode #2.2
(2009)
... Barack Obama / David Paterson


- Episode #2.1
(2009)
... Various





Show all 8 episodes",2008,2012,keep_year
Fred Armisen,actor-tt1645170,2012,The Dictator,https://www.imdb.com/title/tt1645170/,0,"2012

The Dictator

Waiter / Minister",2012,0,keep_year
Fred Armisen,actor-tt1843323,2012,Up All Night,https://www.imdb.com/title/tt1843323/,1,"2012

Up All Night
(TV Series)

Gideon Kirk

- Hey Jealousy
(2012)
... Gideon Kirk",2012,0,keep_year
Fred Armisen,actor-tt2062677,2011,The Smurfs: A Christmas Carol,https://www.imdb.com/title/tt2062677/,0,"2011

The Smurfs: A Christmas Carol
(Short)

Brainy (voice)",2011,0,keep_year
