title,imdb_link,credits_count,snl_alums,cast_count
Lights Out with David Spade,https://www.imdb.com/title/tt8129446/,18,"['Punkie Johnson', 'Jimmy Fallon', 'Garrett Morris', 'Taran Killam', 'Vanessa Bayer', 'Kevin Nealon', 'Colin Quinn', 'Rob Schneider', 'Dennis Miller', 'Chris Rock', 'Adam Sandler', 'Maya Rudolph', 'Chevy Chase', 'Colin Jost', 'Fred Armisen', 'Tina Fey', 'Bill Hader', 'Dana Carvey']",18
Jimmy Kimmel Live!,https://www.imdb.com/title/tt0320037/,55,"['Joan Cusack', 'Taran Killam', 'Colin Quinn', 'Nasim Pedrad', 'Chris Rock', 'Colin Jost', 'Mike Myers', 'Will Ferrell', 'Christopher Guest', 'Jay Pharoah', 'Tim Robinson', 'Kevin Nealon', 'Jim Belushi', 'Andy Samberg', 'Jay Mohr', 'Julia Louis-Dreyfus', 'Cheri Oteri', 'Joe Piscopo', 'Michael Che', 'Norm MacDonald', 'Jerry Minor', 'Vanessa Bayer', 'Leslie Jones', 'Chris Elliott', 'Abby Elliott', 'Bill Murray', 'Amy Poehler', 'Maya Rudolph', 'Al Franken', 'Aidy Bryant', 'Don Novello', 'Anthony Michael Hall', 'Robert Downey Jr.', 'David Koechner', 'Jim Breuer', 'Kate McKinnon', 'Jimmy Fallon', 'Kyle Mooney', 'Tracy Morgan', 'Rob Riggle', 'Horatio Sanz', 'Dan Aykroyd', 'Dennis Miller', 'Will Forte', 'Adam Sandler', 'Pete Davidson', 'Janeane Garofalo', 'Fred Armisen', 'Tina Fey', 'Michael McKean']",50
Entertainment Tonight Canada,https://www.imdb.com/title/tt0482346/,10,"['Chris Parnell', 'Robert Downey Jr.', 'Maya Rudolph', 'Chris Kattan', 'Fred Armisen', 'Mike Myers', 'Seth Meyers', 'Tina Fey', 'Will Ferrell', 'Dana Carvey']",10
33rd Film Independent Spirit Awards,https://www.imdb.com/title/tt7635548/,2,"['Fred Armisen', 'Andy Samberg']",2
Larry King Now,https://www.imdb.com/title/tt2322438/,26,"['Taran Killam', 'Chris Kattan', 'Will Ferrell', 'Jay Pharoah', 'Kevin Nealon', 'Jim Belushi', 'Rob Schneider', 'Julia Louis-Dreyfus', 'Bill Hader', 'Norm MacDonald', 'Jon Lovitz', 'Billy Crystal', 'Beck Bennett', 'Chris Elliott', 'Abby Elliott', 'Anthony Michael Hall', 'Chris Parnell', 'David Koechner', 'Jimmy Fallon', 'Rob Riggle', 'Dan Aykroyd', 'Dennis Miller', 'Will Forte', 'Fred Armisen', 'Tim Meadows', 'Michael McKean']",26
"Finding Your Roots with Henry Louis Gates, Jr.",https://www.imdb.com/title/tt2326517/,7,"['Robert Downey Jr.', 'Andy Samberg', 'Maya Rudolph', 'Fred Armisen', 'Seth Meyers', 'Tina Fey', 'Bill Hader']",7
Dish Nation,https://www.imdb.com/title/tt1973047/,13,"['Billy Crystal', 'Tracy Morgan', 'Eddie Murphy', 'Andy Samberg', 'Amy Poehler', 'Heidi Gardner', 'Maya Rudolph', 'Aidy Bryant', 'Pete Davidson', 'Colin Jost', 'Fred Armisen', 'Tina Fey', 'Will Ferrell']",13
Hiking with Kevin,https://www.imdb.com/title/tt11393612/,10,"['Kevin Nealon', 'Molly Shannon', 'Will Forte', 'Adam Sandler', 'Al Franken', 'Colin Jost', 'Fred Armisen', 'Dana Carvey']",8
Man in the Camo Jacket,https://www.imdb.com/title/tt5130274/,1,['Fred Armisen'],1
32nd Film Independent Spirit Awards,https://www.imdb.com/title/tt6576450/,3,"['Fred Armisen', 'Molly Shannon', 'Andy Samberg']",3
